NAMOBJ,TIPSNG,KLSSNG,FCODE,REMARK,SRS_ID,LCODE,METADATA,NAMWS,NAMDAS,STATUS,WMAX,DBTMAX,SLPRT,SHAPE_Leng,x,y
,0,0,,Alur Sungai,,DA0280,,,,,0.0,0.0,0.0,0.00305403960121,"[11653898.860199194, 11653913.467988055, 11653925.010260774, 11653939.348211188, 11653952.244128928, 11653966.493802978, 11653978.218973625, 11653991.29645345, 11653997.928757386, 11654002.900842449, 11654005.5860912, 11654007.324122407, 11654012.37602354, 11654024.686400747, 11654041.571786394, 11654061.374855885, 11654082.677510243, 11654099.562116642, 11654109.425691448, 11654125.389017753]","[-330985.84644136846, -330976.41133609414, -330967.52009073924, -330955.72529138636, -330942.65929640667, -330923.78496884904, -330906.08987832966, -330888.48597227124, -330877.80130342476, -330868.4310815684, -330859.14089537936, -330848.26115781744, -330836.9850364657, -330821.7406102136, -330809.67428573617, -330798.64128233254, -330787.7670121116, -330774.906918617, -330765.14188064303, -330744.2935722955]"
,0,0,,Sungai Satu Garis,,DA0280,,,,,0.0,0.0,0.0,0.00204809417891,"[11654064.442932379, 11654063.987301694, 11654063.425360909, 11654062.413355423, 11654059.710963456, 11654056.387742702, 11654050.923291538, 11654044.499711635, 11654037.401201671, 11654030.86574568, 11654024.668700946, 11654018.417109663, 11654013.29151503, 11653998.931523362, 11653963.679757575, 11653948.91857045, 11653940.05141641, 11653924.715486769]","[-321033.67960476904, -321018.62641495833, -321011.30847479956, -321005.1258717873, -320997.2981120761, -320992.9288605501, -320991.1697910124, -320990.8837833793, -320990.65484352456, -320989.46210478083, -320985.6034540205, -320979.0220466453, -320972.2141519209, -320958.9168061171, -320925.35740164475, -320906.839477455, -320894.20410187944, -320871.32384544367]"
Sungai Musi,0,0,,Sungai,,DA0280,,,,,0.0,0.0,0.0,0.0364966657005,"[11669907.11504493, 11669857.526887199, 11669796.065726537, 11669744.69122493, 11669700.654013613, 11669617.466739263, 11669519.60299191, 11669414.400173174, 11669301.20717536, 11669125.041409507, 11669022.27504047, 11668897.48333094, 11668686.177898036, 11668478.187893515, 11668382.756031772, 11668233.486168094, 11668068.533057952, 11667877.263018318, 11667685.993535282, 11667459.942611294, 11667275.620021082, 11666945.225219563, 11666766.351941062]","[-332693.55792660353, -332475.0949820156, -332289.51413117, -332203.3624377692, -332144.28575190983, -332070.43547581125, -331962.1254222053, -331841.5081513329, -331749.65975828015, -331629.03099188517, -331579.7899105664, -331545.3125933503, -331512.8975902754, -331480.8673897149, -331473.4681318985, -331490.671833405, -331540.84755424433, -331645.74157185515, -331743.6403726434, -331890.4985296178, -332030.36856225296, -332306.6175120886, -332472.66592255695]"
,0,0,,Alur Sungai,,DA0280,,,,,0.0,0.0,0.0,0.00250409155809,"[11645912.37969861, 11645911.525544155, 11645909.575004036, 11645906.041612081, 11645895.449117258, 11645882.787638366, 11645869.273340864, 11645854.906781347, 11645843.582806138, 11645837.614856917, 11645831.645237917, 11645829.44812512, 11645828.956426932, 11645829.073980313, 11645830.159790628, 11645826.624172274, 11645819.681398282, 11645809.209462455]","[-329940.56082425435, -329948.52513512515, -329957.9584896698, -329967.6371870791, -329980.37625301036, -329992.011224597, -330004.2590512476, -330019.080130319, -330035.6167122168, -330046.7649057994, -330065.2636728237, -330084.131961026, -330097.97769934265, -330108.7599470783, -330137.92147931544, -330154.09357461066, -330171.3667596272, -330186.4343160534]"
,0,0,,Sungai Satu Garis,,DA0280,,,,,0.0,0.0,0.0,0.0128065455555,"[11660647.14135077, 11660639.51919392, 11660638.101206247, 11660638.92430256, 11660638.094861036, 11660626.28486494, 11660605.502183925, 11660585.900714029, 11660572.793623216, 11660567.242788134, 11660566.532681102, 11660564.051147016, 11660531.460473647, 11660503.82863832, 11660462.735716213, 11660427.548293095, 11660409.835580995, 11660398.264921805, 11660355.758798754, 11660327.067090565, 11660288.694148894, 11660221.27361061, 11660176.406067204, 11660150.429107437, 11660115.007468099, 11660051.128782064, 11660018.305005692, 11659978.159189811, 11659944.507975655, 11659920.655882325, 11659890.309409898, 11659858.782839552, 11659817.690362712, 11659789.823197993, 11659762.308916047, 11659718.615459317, 11659692.517606571, 11659656.617738705, 11659632.998303108, 11659592.491812078, 11659569.936479494, 11659546.082048455, 11659520.927628394, 11659487.152070375, 11659465.777726268, 11659442.041961797, 11659425.983123371, 11659417.364879722, 11659408.629082682, 11659398.595300376, 11659378.778872546, 11659374.666062634, 11659361.637674712]","[-329505.61942841427, -329519.0984833082, -329525.99189301865, -329540.61360970646, -329554.2839477077, -329562.3640490574, -329566.9951039564, -329570.43857751857, -329573.7635605564, -329579.4680540919, -329587.67066057597, -329593.1378390613, -329601.45124580583, -329607.74462696014, -329614.5109678874, -329619.13879216375, -329620.91871604946, -329619.9651057826, -329612.1094975627, -329605.32721681794, -329597.4726127523, -329588.5423415156, -329582.3501744238, -329579.7292239523, -329574.7283172913, -329566.86769588164, -329560.56027183455, -329556.15304516366, -329554.1243253666, -329554.9507500088, -329556.9645330898, -329559.57210690225, -329563.96038412163, -329570.13560713385, -329579.2819022981, -329599.2419468496, -329612.4304144375, -329631.3223761396, -329648.1972121036, -329674.6957709689, -329685.6261230186, -329696.31916012533, -329710.6966700138, -329734.8199646278, -329746.46338467934, -329755.254554883, -329756.2017010423, -329749.5429192571, -329740.74405813764, -329730.2809762423, -329706.02314031776, -329705.1689590766, -329713.69438599696]"
,0,0,,Alur Sungai,,DA0280,,,,,0.0,0.0,0.0,0.000628461199973,"[11649889.399084957, 11649874.288020685, 11649863.619494645, 11649850.317594728, 11649833.780416459]","[-333591.6324105845, -333604.59256685426, -333616.3245281278, -333626.45553229464, -333632.2071437425]"
,0,0,,Sungai Satu Garis,,DA0280,,,,,0.0,0.0,0.0,0.00319242177725,"[11669685.784623954, 11669692.410137402, 11669696.569924133, 11669702.349743418, 11669708.976258742, 11669718.363831405, 11669726.683404874, 11669733.678610353, 11669740.599677052, 11669745.27487303, 11669749.655740267, 11669754.957664978, 11669758.456547894, 11669762.027788468, 11669762.98680588, 11669762.50891132, 11669761.14769658, 11669758.131717613, 11669758.095316136, 11669759.753086004, 11669762.956193028, 11669768.07321606, 11669774.811050883, 11669782.762713427, 11669811.438280294, 11669814.89775611, 11669817.032529984, 11669817.363260198, 11669817.25149543, 11669815.59495008, 11669814.121859264, 11669813.642628856, 11669813.384367637, 11669812.904246673, 11669811.136047874, 11669807.858245471, 11669804.98631393, 11669802.92356376, 11669801.85478533, 11669799.570954658, 11669796.330555608, 11669794.04783812, 11669793.458067467, 11669795.628574891, 11669801.150244284, 11669808.769729469, 11669832.35877484]","[-335591.9985314971, -335600.4497925983, -335603.4517773553, -335606.6779356563, -335607.86490688036, -335607.56983617286, -335608.1641021034, -335609.9442245546, -335611.27956722083, -335611.2803475264, -335610.4277971786, -335607.16708194936, -335602.4982319482, -335596.08682647656, -335588.11869230994, -335581.44744261715, -335573.5525475732, -335558.9500641929, -335553.8722194793, -335549.053773985, -335546.2748491962, -335546.0901374868, -335546.75875597744, -335548.7245925031, -335569.6323555307, -335574.1912912976, -335580.34351948526, -335585.9770612656, -335589.31313208526, -335593.3892763488, -335596.61420817237, -335599.76367244154, -335605.1008067385, -335612.8096543306, -335619.9626948414, -335626.85633659037, -335631.8590511194, -335638.9375168685, -335644.9045905651, -335649.9074173219, -335654.5026965162, -335658.5797347695, -335663.69381281536, -335672.69999494153, -335679.96518152324, -335686.1565423382, -335703.8877738892]"
,0,0,,Alur Sungai,,DA0280,,,,,0.0,0.0,0.0,0.00130229061774,"[11652521.628483478, 11652547.24354359, 11652584.056231279, 11652603.229566408, 11652627.926908642, 11652660.91187564]","[-335047.5908088506, -335053.77544904035, -335059.80915491615, -335060.58623410296, -335056.88744424673, -335039.755921053]"
,0,0,,Alur Sungai,,DA0280,,,,,0.0,0.0,0.0,0.00418727089289,"[11653639.629944382, 11653647.935491594, 11653662.915644156, 11653679.195897046, 11653701.49719855, 11653727.216787655, 11653747.403018845, 11653752.873258622, 11653758.283719826, 11653765.137549559, 11653771.856460067, 11653776.456738017, 11653783.774436068, 11653784.58884946, 11653783.578736406, 11653781.282771908, 11653778.040814374, 11653776.962907745, 11653777.64329247, 11653781.56953092, 11653787.118028292, 11653790.368223468, 11653789.019699153, 11653783.885532917, 11653776.518965619, 11653767.852297977, 11653763.122444136, 11653757.041616954, 11653751.711305771, 11653748.109007055, 11653747.594933646]","[-333090.9189005173, -333079.77767622785, -333065.19644843397, -333058.31822326535, -333056.68583758984, -333057.0210317675, -333052.4382238999, -333050.0487252916, -333046.19282193715, -333039.6145670499, -333031.6748023664, -333023.64352029114, -333005.8561630607, -332995.441961944, -332981.9634176077, -332971.3434426585, -332958.34032566514, -332944.5220212089, -332929.5464245231, -332913.8224122451, -332900.07344788214, -332883.87323469616, -332870.4632573944, -332853.64761611004, -332838.6696896573, -332816.114629777, -332803.8603919086, -332787.2037175009, -332770.0007258195, -332755.47772284545, -332731.5677482811]"
,0,0,,Sungai Satu Garis,,DA0280,,,,,0.0,0.0,0.0,0.0427474522546,"[11649359.03918969, 11649330.490861, 11649316.21625138, 11649298.748330843, 11649276.488774141, 11649247.278762402, 11649231.029678969, 11649216.472763117, 11649200.789516656, 11649184.16751293, 11649163.507728633, 11649148.482380368, 11649138.622256465, 11649129.233125325, 11649105.429678619, 11649080.719868612, 11649046.809502678, 11649039.318591507, 11649029.065955088, 11649017.497633608, 11649005.27130261, 11648997.121491369, 11648988.841547647, 11648981.612459913, 11648970.57023434, 11648955.057306701, 11648942.173077518, 11648929.684923077, 11648914.70209886, 11648906.81656009, 11648896.039274907, 11648884.86647158, 11648869.750063961, 11648851.743468411, 11648834.395438964, 11648822.305696985, 11648793.647495957, 11648774.060608914, 11648753.030798629, 11648740.28182262, 11648727.402491508, 11648707.557231914, 11648688.103371661, 11648671.408231033, 11648653.659896694, 11648638.278103419, 11648623.028001102, 11648613.169101713, 11648600.814864632, 11648587.515191104, 11648569.81683922, 11648549.32269833, 11648534.262173101, 11648513.921430465, 11648494.511207448, 11648475.102431593, 11648454.762690831, 11648432.249993607, 11648415.950482452, 11648391.893783892, 11648368.301510245, 11648332.910038505, 11648305.744854482, 11648280.595777756, 11648259.325962652, 11648239.918411313, 11648205.918989789, 11648179.217562774, 11648155.62061371, 11648120.596162321, 11648099.976787003, 11648072.822289653, 11648061.77984144, 11648050.060125459, 11648038.226974897, 11648023.799746264, 11648008.469827853, 11647990.43295341, 11647979.499041699, 11647961.691040117, 11647945.01159554, 11647930.587038552, 11647917.852868048, 11647900.607920447, 11647880.994316734, 11647863.522166045, 11647845.371634401, 11647826.544502877, 11647807.268976446, 11647770.749392979, 11647752.378003458, 11647732.76562425, 11647708.981101846, 11647690.381507361, 11647674.035242015, 11647657.352012573, 11647632.218186619, 11647611.705789331, 11647584.093323598, 11647548.141692173, 11647527.178005662, 11647502.71833055, 11647484.908659175, 11647463.607118012, 11647423.485124504, 11647401.620751997, 11647370.62706806, 11647341.21211712, 11647296.357486784, 11647268.97222413, 11647238.659036234, 11647214.99496152, 11647196.064859467, 11647166.010712018, 11647155.434358532, 11647143.59697783, 11647130.378790177, 11647119.865332188, 11647111.815151889, 11647104.0654229, 11647093.611520834, 11647078.53596748, 11647053.43954488, 11647028.060593406, 11646996.36938154, 11646926.666237088, 11646903.001828425, 11646879.467997516, 11646848.965900438, 11646815.308118433, 11646782.571727857, 11646741.684524175, 11646711.97279549, 11646671.741152273, 11646631.902912151, 11646608.338134421, 11646582.597505923, 11646551.434393713, 11646526.713785714, 11646506.528556406, 11646487.680942094, 11646470.94016047, 11646453.330196269, 11646433.487163076, 11646420.83959913, 11646403.729348117, 11646381.414799582, 11646354.63956775, 11646326.748691967, 11646313.73165863, 11646298.482335538, 11646282.48672659, 11646256.322082154, 11646241.815260077, 11646222.845750922, 11646205.739062142, 11646189.74835125, 11646162.850779286, 11646148.101058071, 11646127.277077522, 11646109.303321224, 11646093.065369742, 11646059.100011988, 11646045.960304573, 11646034.43005435, 11646023.518406551, 11646012.605756866, 11646003.553923791, 11645991.900665533, 11645958.755175836, 11645932.486781638, 11645852.384949602, 11645829.139881447, 11645786.625409443, 11645760.295407595]","[-327755.56316361757, -327755.4594997724, -327756.6832905007, -327761.4999811068, -327770.9468793836, -327785.5911281104, -327793.81067019363, -327797.96569685306, -327800.32444032794, -327800.035741981, -327799.272976446, -327799.0785787928, -327797.3742553957, -327791.8873151306, -327773.5858491642, -327751.60632580635, -327719.96210571256, -327710.95962808153, -327702.750680794, -327698.90898950805, -327697.5809782198, -327694.6670223258, -327685.0016556119, -327678.3819984244, -327673.7458866592, -327672.8141387916, -327671.22172941756, -327664.99777874886, -327650.83050900337, -327641.8278134481, -327629.3824790941, -327623.02577405795, -327613.2270991319, -327598.0001245982, -327578.40590053244, -327567.62431901344, -327553.2457202169, -327543.312510963, -327525.3053526194, -327514.18335766246, -327500.2820636355, -327477.510509417, -327465.1944923548, -327458.7038132986, -327456.58038153575, -327456.3111905798, -327454.32073806314, -327448.89121805533, -327437.63625073666, -327425.5853042629, -327420.7340721493, -327419.47706780833, -327419.78482599306, -327424.3110225998, -327432.1200107377, -327435.2398385717, -327436.32741443045, -327435.53856803133, -327426.46755928744, -327398.7936243556, -327375.0275876327, -327349.38190196553, -327332.17944564426, -327321.5424570248, -327318.4094790309, -327317.6215251086, -327308.70111566974, -327297.59474532894, -327288.5212943915, -327280.67441681033, -327273.5209701279, -327260.2382281543, -327256.6043232636, -327256.48750683904, -327260.1139434998, -327269.0710217934, -327281.88616452744, -327301.95986899827, -327309.55773264985, -327318.7406448506, -327322.7063861635, -327323.49512039067, -327325.5331668391, -327334.26341628184, -327351.50087326183, -327369.19300307473, -327390.401224355, -327416.48787875404, -327431.7974275249, -327456.4030387538, -327466.6072155015, -327479.8745971801, -327499.49265948933, -327518.65973228996, -327536.12527488975, -327551.7754794604, -327565.1540021594, -327573.88215056545, -327582.38201651775, -327594.6224709935, -327604.8257673559, -327621.15414203383, -327635.215738266, -327646.0996518152, -327659.24611159164, -327666.83931548696, -327677.15330394404, -327687.12687474996, -327698.79651985987, -327702.19078478904, -327702.2945600562, -327699.44993619004, -327693.7712779664, -327683.04564257467, -327678.3831130888, -327670.9370441623, -327657.98442324915, -327645.274800434, -327634.9257027159, -327624.8187108364, -327613.7427425817, -327601.7635633808, -327583.96662209864, -327572.09891210374, -327565.3117270208, -327557.9065730131, -327556.7076412347, -327556.96490551037, -327558.93919704197, -327561.972307258, -327562.3585380873, -327560.3590550994, -327559.0259178503, -327561.52633047354, -327567.6016913459, -327573.72955315514, -327580.4231069607, -327591.0010405738, -327602.9050904113, -327618.1011893665, -327635.4406774474, -327655.0275537117, -327676.48584295966, -327704.931744915, -327717.53169082897, -327727.5092776598, -327733.3666182102, -327733.35747794807, -327735.71878392546, -327738.9594490517, -327746.56681407435, -327760.16294035193, -327788.4825698959, -327798.58500495064, -327808.68699497066, -327811.1769347712, -327810.1730670185, -327804.7981500559, -327801.29876937467, -327797.9225593085, -327796.04367932427, -327794.6656185285, -327794.90393398405, -327796.7711099636, -327801.8838572572, -327811.2392445786, -327823.839758608, -327831.32429265906, -327835.9367793895, -327846.60457682033, -327858.2499371924, -327898.231450274, -327909.26965668984, -327931.86885112233, -327948.10419355385]"
